d1,d2,d3,d4,d5
568702,453371,-767395,-496917,770624
641395,14958,-71789,-309089,-784773
896748,-62761,857610,-347217,91085
967747,-635460,663517,896805,984053
-414786,-77324,724512,-106361,-901213
-399804,766649,-885289,381209,689210
-948990,-754139,-958297,-160531,-123678
-741934,-467615,-451421,466852,760400
313854,-586400,495539,-669100,417556
-501332,355317,685993,-10402,274830
-65958,1032859,221292,676752,-783704
-592110,779898,480516,36911,436700
860237,851248,595528,816991,869303
-170307,894893,407631,967566,-302987
-352125,157669,-195346,-29770,57076
-720190,148376,542806,335806,-796086
-2513,557688,795676,200051,-894541
529729,510619,459611,-113098,190126
976206,-223447,308645,401047,936150
-603496,317853,-164641,357430,-371639
1025634,212228,-355237,-227176,-251706
-132998,687385,640846,-274573,1037942
720234,-746000,-424683,939383,-536634
-590425,-908083,-544993,-1000459,268615
164228,500339,-774111,-138040,-560438
-499050,-506366,153527,-214094,-462374
-69387,93754,-800340,1022094,25904
-30229,-54228,-84025,-997795,54050
621641,-361284,998401,-8977,797072
980128,815617,-213432,976016,831468
-5812,1015251,-424494,-28748,38389
748876,507123,-808038,-174204,-53616
-40090,44122,-531499,-329497,-673722
-1030006,306970,-945060,310445,724680
-430603,620530,-875739,1009430,153997
1041839,409659,425612,-389030,189359
317745,-47213,552355,451625,-319971
-661657,-339161,962307,170214,-666322
194146,787050,-5914,-526937,295732
366431,-677603,737979,-411500,-172371
-196228,713951,548000,416642,-782347
-968993,907422,-30016,-11127,-922177
-656388,-514593,-474024,-22586,426025
74607,500491,-862031,-281001,461359
-15073,386898,719531,293361,-528536
201054,196882,801414,-745006,-108129
739009,332155,183868,-374592,495191
-1046418,-754547,754571,-929395,-24254
1028125,299814,382902,-125669,-966633
-637642,959299,-876793,735297,-1031796
997933,386815,-696098,-553315,878856
1014991,689888,-889810,913393,571409
978107,91833,792903,-1021667,-220612
465389,3625,-557566,898329,496078
-1029046,-743716,978425,-154120,506259
-350975,313846,-235834,435532,995369
-108186,-930603,840057,-374621,728980
-966146,-372087,-536675,-876743,210462
-293693,-223513,18632,598980,-29053
1021435,-931681,-236971,-812799,-476894
1014762,1024007,650677,501520,152015
971588,-9486,-374921,520230,-515647
171438,350447,275240,-635150,-442567
51880,215947,-828655,641814,-828908
628838,-992485,-693243,-1027453,131264
-859118,-917629,-550759,463474,851584
450223,958130,-116601,-637010,-440668
-122646,934060,795648,-665611,610765
766335,-75982,-734188,766025,520559
-98045,280403,-334832,-569522,-762512
-16141,-849103,498542,-856158,560378
-302932,-321574,-305741,-351942,-824671
-932013,-413040,988303,400264,-115239
433834,-419024,-127676,1004105,-517630
526217,-167261,-564243,112454,210669
963288,-931463,-167876,-72118,674095
76125,610460,258289,-111277,-358146
187256,-481952,-675762,152284,-420606
318348,924057,72277,-467371,-350617
980494,598480,-34996,-552799,311834
524517,874816,-337434,-48450,125742
-207271,942474,-111976,1027321,-394936
-284026,-196102,87818,220582,-508544
-623792,-392172,-983206,-456904,633966
520905,-595206,87389,-309672,-373176
583428,-883959,-135411,621976,-348376
690485,484866,429413,-578066,-919209
-888353,216086,-217178,-133505,783168
-903457,61989,914039,685492,-316714
-938638,-505554,-677121,-1025776,-317054
89310,760217,-846607,-795072,1016294
-404265,-120451,-240413,-176191,374764
753452,863489,342026,-869229,876737
-1046484,-433369,-480394,535876,-618010
-265721,526724,416192,305397,927373
129244,538352,988437,-715524,40010
-1000036,712687,370760,996877,-262675
-435719,330667,543139,-564250,-897727
66725,213212,672557,293889,837610
-496570,638886,1000039,-74471,911133
711335,-437738,566464,-63697,744542
808266,83892,442073,970478,353461
-56176,423958,740908,551978,-580252
60182,-1306,-332467,431127,191024
201899,939432,-246736,442327,-466477
-947805,-86171,404643,-473945,-1040674
603491,-276252,-474778,194546,-178552
-978425,-456453,-265202,861977,-82344
-679501,130994,-598727,372249,380504
-312930,441565,386954,-636862,399266
967800,-238759,885049,801983,74720
322815,434829,436596,-747207,-270914
-327704,784151,704368,702388,-629126
-394071,808395,-561410,919841,-1036842
-15015,-989350,-724651,256451,574734
-852117,77874,-901467,870460,459588
349640,-968002,-973857,-849410,912802
355485,159245,-23852,-755323,-258114
-51230,-171796,1014301,1041226,1010286
-829262,-94282,-757640,-448134,226221
-773115,-22699,1004805,-965220,-342879
920875,837316,-920542,-717851,-881911
-749845,-943563,203584,-267283,900805
5299,1029828,368731,887770,89437
366527,570139,-843341,396975,862990
346771,-920681,-902984,668320,-645638
636474,-204579,-175899,883212,-249753
320936,40898,-15653,728271,-328745
760369,-168149,-210988,-989974,429894
951185,-175722,-524053,-671688,612652
211600,-703138,-875813,-617134,247877
-800689,-885023,624472,171539,787916
-1047586,417156,35860,49670,355997
-939388,1017905,-538956,783166,145432
-266581,-732072,-907049,370834,233871
-418444,697139,822193,998974,-301448
906830,35821,-66550,912926,-701872
-624952,473072,537519,982472,-645072
265421,-302869,115119,-17052,912981
1022867,929030,-445546,-688595,473262
-782940,509550,96704,-40238,-728351
-261733,98871,-942151,372451,909425
604222,663365,-398406,832504,-345741
-409110,674858,-645056,-636062,118339
-786314,-513834,141097,229803,-833352
-798490,522119,131946,-952502,154014
670123,311947,924290,-801490,-31560
-920644,-283027,-241226,95846,-185133
-506876,-486796,400337,728627,-605877
466973,-689129,500438,816536,488177
-69116,-967028,-28438,864157,-549321
298200,779769,780089,-469044,954749
-534185,522715,899725,-474728,453750
-550223,-808303,-251056,596128,-941189
-378034,300383,929703,-30271,-334222
-171667,-387593,-734637,380220,256729
402927,75899,346724,-695093,-199006
-696698,-307239,786069,-1035607,-497527
-929418,-937420,577943,911314,853163
972054,824581,776245,887821,956491
926282,870363,374333,974464,-586849
162298,-1026401,673796,784102,-957029
-897136,-968946,-2761,-820655,-947598
438722,498648,772692,221053,1016117
-684208,837739,-574703,419715,-52214
-444528,214766,-988929,-338863,105784
-318619,-227167,978716,917754,536989
1007938,-454317,-938693,986660,-56313
112574,366456,-1034684,279014,813797
-605470,-816379,554283,496273,-587800
21440,952403,870522,260363,-796219
810016,-832630,862159,-306276,511723
471409,-925043,-291699,-409918,-13030
879118,564059,939817,311147,-349955
-730731,379830,-356966,279086,468311
854558,579434,-323349,-871417,767165
-26086,836984,-184310,612577,-130821
-409460,-320490,-255957,123272,821309
1042686,568174,171867,1043016,-1015112
-671508,-441139,-479279,-925318,146527
744572,-409309,-672779,753369,607026
59878,-642258,-283567,296367,-357001
-562709,-168290,-405733,-297693,505506
-739334,-457045,-447244,253056,-949058
-110627,-65679,-384044,-621029,-483217
814577,-397466,-171861,-744598,-529690
645595,-745773,977374,-916639,914973
-549242,-147322,-242356,-1029834,-147272
-127390,-706078,-1025790,-381097,-985000
-524084,-66977,-48370,554150,1011527
539642,470957,649083,138657,749565
412504,-898162,330563,-425479,-76962
729937,494274,100572,992423,439966
811753,206853,1029544,-438749,868757
1003294,244742,-141480,-153388,-666702
52233,490708,846442,619582,583204
218879,-465456,824137,721335,-553087
578052,458023,778960,-847226,-115429
292243,54368,-742981,-219690,-141020
-755195,857773,533572,-923009,-454180
713151,-254543,85932,220027,-771625
-677085,558920,-555619,1002748,428115
758900,-826988,656172,-612978,449804
379082,-714885,158673,-777705,447265
-327556,-740584,912961,587288,-901658
563234,449547,1020160,751570,-181418
-578159,206356,489601,-369568,-661272
473125,225472,95659,983219,669686
219454,725495,-780966,886628,-965371
-252378,-295679,-189103,938898,-522130
999431,-985070,366667,945949,447354
369524,36429,938880,-985057,-105270
1039573,1029263,146784,-1293,-129257
-646824,237502,558039,786967,118031
955592,715982,958583,-555663,-658607
-138367,-692122,196006,-359554,438367
-69383,662899,220791,689792,-1029085
330291,267931,-899058,102833,-179168
720993,1006954,-468178,695035,332302
-90377,570564,-1034065,817260,-161253
353536,-549829,657790,-728309,-275704
-144331,780311,199748,-478376,-936429
46186,682626,-296623,-852110,-240047
984370,-416101,-290955,867064,973105
57685,964597,520958,-1028442,-428640
253073,-597189,454256,700872,-30790
255910,275823,612494,-663338,528176
282932,-402016,-458115,-445710,-959295
85787,-915981,-279804,-138608,-933948
-543565,-851834,837386,-63024,1029283
-999676,557663,-594341,-633097,175362
227404,-36733,-211597,400357,-484017
-502550,-850584,95548,428939,-43806
473236,-276474,-294240,-935933,-785347
-825467,-505868,801032,504391,77857
-801514,765103,-456565,119104,-318333
1021460,-177475,-160542,563741,-21181
-583849,-886681,-193430,-658760,-382326
-248078,117282,455003,-999958,959045
-90791,169433,514129,-405795,-431741
-179211,-782888,-310376,-497263,-454837
-519336,358158,-906718,476635,-191093
-159000,-324137,-274973,-338650,-578044
-695065,-214432,-686269,-419071,-911969
732923,406379,-31750,520894,-208888
488277,-820482,67516,-65933,-692927
-321038,-611065,-778767,857832,639866
-279684,-701791,27864,-441402,-1017622
864180,360074,141117,-4384,-819487
-461785,566443,-954909,932660,-768856
905044,900,485813,-1005419,59067
-896127,285411,707089,923490,630786
-886750,449227,132458,455796,-369736
477134,-480350,-140030,710537,-154943
-465334,481564,-344992,682480,255077
-179478,-683117,10370,-360581,700447
863791,188043,-1038905,407463,1043781
606570,134150,308058,-633673,267141
23023,-431001,870889,-903060,845511
846857,990792,412339,-788211,-483910
-45468,615975,-207127,-697705,809386
849582,-944882,-395636,-65901,-726400
-993155,-793708,-640623,-730251,831920
640061,747477,687427,-637589,354491
-405175,-455419,117336,625713,-581550
779181,15712,709616,904266,-871050
120107,-769833,144816,513116,112633
242858,-895855,-507710,713699,113216
805125,-293169,245963,-376011,-573820
5853,307780,-116907,423413,756791
-123943,83145,-143236,290064,114761
-11249,129393,-49625,411839,-809083
1013675,602088,-929544,452186,738467
111354,601208,846693,-616238,421713
-460217,222434,337100,593809,247691
205342,-620922,394838,-892524,661438
-879099,235978,-59520,707169,996565
-964979,453195,-885696,11693,979199
62528,-380518,-772169,799022,702090
533927,-477393,-309482,364229,1029330
316994,505459,-107312,31915,3492
451739,-755423,405882,104719,1020893
-532227,16017,251579,107962,806391
-544278,-47061,-782508,-463935,193981
-1031845,37954,419429,547548,281779
675288,-665556,539730,16567,437140
-840458,-700433,120031,760792,-790937
805261,-513853,686151,-802507,-346334
-425062,649632,-825985,-231208,-395985
739116,-600498,-858145,613518,778995
871025,-115675,124773,-843495,-671768
-712845,1024517,-1048317,-680022,1032417
-981643,-406403,-620886,-32132,-69135
-899849,560341,381878,32742,926310
-944365,629751,-601199,-663728,-891647
-1047805,201358,-136992,909070,-1047384
420944,-103630,-385111,-628142,401090
-97814,-620061,444446,-906657,649834
974884,498684,-272853,-636143,-898154
-957054,293627,-214778,7875,399961
61956,-32469,-315859,286399,-41768
-655509,-44217,335862,359583,-325994
-267343,-882952,90832,-826654,-972069
-611092,687191,-333620,418501,-887866
-204026,389590,-459614,-600577,602232
-309707,-905901,997016,86770,949943
-962516,-608303,396787,-235640,-771210
436436,974682,-772717,779937,-551552
-8093,576934,344391,435920,-809368
-326250,-513368,-920889,163020,-660331
677849,-297005,-872213,-251762,-908903
563821,370414,534847,28951,-265343
-601861,-932684,-368931,173437,948138
-603166,68554,526872,292555,42788
356186,700331,-720733,-887191,596943
402700,-877524,764104,45748,-37786
499552,315973,374409,546129,-995842
1027535,901529,2223,-873971,523038
360186,-142100,-116033,-995728,-725035
318686,-538292,759269,-215027,321307
-558650,-285330,-577669,-70696,812315
270383,-989640,-222792,1036891,238653
760893,990650,484707,315469,199788
200135,-996472,-863496,227441,-84624
318691,-175359,87297,209748,-806758
127635,-311247,835781,296743,-6222
-510913,558757,802727,414646,573672
870602,-777808,-888268,-730866,42233
-571451,-228934,-153738,813831,-730483
271743,214919,-581431,-117739,-353312
232890,-809319,-639516,-126202,-1001701
-169198,-863537,947420,-901473,-228714
-988323,-589529,300147,-949619,-490214
-708650,-354824,693087,514614,717967
737801,-813604,-666070,-494080,14922
-368921,-898630,-89492,119145,-845416
898795,494688,-166050,-175773,-836553
940601,-502247,-311568,-929955,-874846
955860,-444444,-524304,284662,187472
-526314,-680196,-45804,633666,-85158
186189,-699707,-701813,778682,-685922
-111285,-449037,611175,-793144,-904639
1006418,-29635,557911,-693327,-199196
-255785,-119061,698777,373166,151455
-661679,-675105,714789,-593652,641946
-56739,-918966,434493,-796824,496899
-1028183,-60086,236914,-530256,-1000723
-968590,985654,-861801,424550,124259
767116,-487658,160666,-297805,-876940
1667,-574447,242716,-915210,970130
772976,1023698,-542373,617686,-314820
600441,-647435,449990,-588727,-165826
859925,317281,-171338,-110425,-761489
-921072,-71584,-352128,-759062,-659401
-834415,1012645,-175379,834058,721867
-203216,549628,181341,-112801,-291761
-208323,-611136,-78932,-550816,-290941
-838640,-96411,-999185,260009,-521927
-818455,-651256,-423139,-42131,-852416
-69798,65673,-694422,856151,597678
1045634,-2761,-189424,255493,954402
1039568,381195,98155,702124,-384270
-221404,-723476,-22312,-698511,718792
-227550,-803749,80208,398189,260235
-210963,633552,-306820,-585159,65302
-242708,-115155,872596,-78376,-709912
7165,868639,-825642,-373767,183408
613712,529086,-421476,-165655,338363
336128,-116155,811680,702971,-320381
-113559,-856237,412547,-285802,312169
-288856,274837,549005,17419,409640
258493,825849,957778,-20141,338766
45380,233672,675487,-402979,-483587
-241119,683634,-563209,-280663,642742
166489,463813,-250135,9576,623216
-915708,822937,-701595,-296629,-286056
-588888,243392,-989401,-970800,-47556
-924450,-32660,15003,-660398,-986801
592543,222646,-526630,-595735,-915877
502200,-571687,264841,745210,-488934
981297,93678,-207941,-568697,-77480
-1034060,979312,-520372,438001,63641
-537397,-970056,-156761,-467757,424006
828937,-961145,-675062,526611,622872
-263106,-334395,-761827,-68209,926684
-228529,-820287,-358300,423959,302375
524557,-434447,-498109,75965,-928489
155837,-772093,678469,-429907,838568
157627,-421329,-87751,890522,-272738
-1000947,667712,-228529,386486,395909
583073,593901,209013,157999,-670795
-791213,-467558,88080,-24830,403093
1027072,233382,162481,36677,554507
936111,524155,152571,-972802,-561164
-642194,323557,-1022380,-261179,-901590
-269475,151819,-97563,-937427,936639
156408,503123,349279,-663080,-683373
713963,1016687,-29719,1028769,869995
357370,321155,235052,840092,-512225
-322094,-663029,-344102,611319,-642559
184939,953842,-17750,-457000,679008
-447433,-549502,364847,585445,-170234
218690,-620534,-472578,-1036883,966800
-783191,-325488,-360591,-1030892,725708
-697898,939757,-622724,-322661,-807386
42268,-236909,-298089,-410181,820570
-51038,741628,-539114,-854207,-191565
893805,-721861,-553371,-572929,-1000129
-639912,-501423,-902716,-299692,650220
70690,-560852,-751771,-602160,772219
998709,539790,-601221,239755,-420705
-513990,-820397,-468492,94261,-1020214
-794104,636817,-186196,-842514,-650997
-54585,-58290,-785483,572375,493363
322022,-261560,746405,557399,-669459
891894,133227,-1038539,620743,828572
483003,859053,-383499,1028530,188108
-161818,-697319,91160,717396,-140284
500642,-249297,-886155,217552,29422
-164901,-983901,-8390,-792600,660568
-812123,72046,-618390,-747784,-394715
230809,-1022382,-803212,-467333,-835349
913499,841153,731430,-756665,-828869
122687,-671599,460852,52065,283171
634469,-209295,749653,-650241,989793
-81070,178129,-842962,-400493,-682341
-691375,-466485,-1019517,188055,182112
-286319,-501612,-397527,199154,31845
249727,-3297,30602,92595,739672
-518774,506600,-433453,709802,118752
782901,-57421,436270,-53680,371079
222195,-582555,-418283,-172879,143703
811817,-520725,625596,-85619,-291083
550897,187498,-469162,618092,107958
-610298,644772,-43524,1275,-428026
-963962,522667,-769870,714847,-789997
-358987,-13632,-582235,-366345,842624
937563,543033,-125018,96334,461840
919643,579345,601831,-410153,716404
-587222,-593747,238294,677947,112256
-305452,747500,-427515,1034841,-723754
335440,-651304,-438563,919083,-301186
-440803,-666168,60375,216563,404455
-99436,80599,-560421,1038279,103843
-961636,-462302,-452532,635177,778981
-612122,-975201,696472,82004,668315
-750748,216988,-517848,-332751,20587
-589352,-1018121,-1004982,446292,278306
-481359,649446,-739138,-371426,483865
-704670,829630,-424465,550167,1046657
-332308,-619334,159806,-677249,970268
-817036,32184,598093,953220,-671405
892655,-1021508,-347779,542409,219999
382155,-437198,-451972,136953,685694
-245145,-927471,-302633,878691,598353
-551712,-787609,368233,-212461,-166996
919343,-448209,509421,368636,338550
695143,-833723,817019,760073,557038
512212,-818869,617733,-151569,-420387
-504103,-148931,-900102,646400,287363
1035149,825867,-754320,317342,-352752
-954024,109211,1043200,-854478,-375098
-823265,-210275,-62838,-40373,-938824
-647284,-155755,608062,-1007521,1045635
-396522,247220,-532142,-168928,189991
820521,-657366,-33808,-140519,942968
-13568,-312369,-28377,-664494,22734
65556,702961,-630604,933905,-869952
-267163,620228,573349,259100,-74785
122379,-366918,-950919,-644340,-754683
-287768,792379,-218337,957132,53193
-250133,950084,-87492,-186696,-191116
-339730,-646000,-588419,901783,-847883
-426306,-996850,-159229,-896196,-106663
929761,-505513,788072,164869,768494
-328876,-358609,-180554,194878,-149185
-1017730,-794042,10011,414551,-26082
-429947,150,11384,560127,298045
958612,809700,493107,-510518,-159904
-38914,-123592,-877238,316250,803566
163483,-204333,296437,422874,-112331
885210,-262843,179170,759496,357540
906542,104980,22837,-417654,-953718
-315850,756901,-530308,-193674,-564288
-83388,380018,939778,1027728,-1025789
-214117,-842021,-888460,-192829,159201
45134,940999,949571,-351914,-696705
-501356,253045,764658,370960,410432
205647,-247076,-326906,967364,-825280
839397,-708938,956678,-31541,285771
981677,-654110,145020,-166648,-649661
180539,994400,-494808,163824,43462
940977,-542602,-328243,696916,488547
-466886,977189,-286792,695026,-966836
883891,-854216,919713,-670394,-864285
340398,629007,491311,-249323,147137
619589,493723,-168318,-666442,-319187
812322,979083,864143,-904620,139774
-482645,-57853,227969,54280,601277
-64354,696952,322948,659100,-453255
-947839,214703,121939,-273859,-566747
-821214,226891,-46692,552902,-177486
-525103,-679764,292822,-550623,-919502
747439,740791,995044,-626150,-375707
156354,-74403,827018,-244877,-245820
-362159,994199,-341414,-102855,318933
-518692,831328,148642,-976208,-331232
-972396,-203792,-304020,996284,113269
672569,257040,-207045,31338,799574
316036,668683,-292596,75535,173216
210179,563377,-119367,538479,371838
-152669,-284031,-126953,240468,423866
-73558,-959298,814401,-1003922,317787
-455673,-797052,-441891,777855,-1035026
185151,152331,174898,510728,-70138
-678546,804754,53630,418109,135407
-266555,-707492,404003,377130,740738
48311,-152310,266160,904415,-855052
993558,-642318,711022,-428411,-831075
-551949,-347509,-501215,93100,626262
-242292,395832,-427702,371979,392105
-465634,-258477,-840903,-29178,-363365
-39028,564337,-268809,231911,-63501
110218,-959710,-904671,550421,209080
-939226,-726116,-489298,435320,-616788
-200653,634264,403871,-358952,-721216
638423,54494,899728,471937,104487
49976,673777,149655,-733254,-487388
35140,-39185,-261434,-840676,-10308
-833433,213316,-919994,218277,-212749
568330,-203478,970081,-530006,-497237
456427,138194,-75949,-938733,447505
-797437,-909154,832631,-910361,-707368
-461208,-482156,94568,-450673,738788
-671176,713829,-299595,-943383,58760
-179764,-132339,-838885,-424926,-565014
-312007,-958539,200858,-8807,115017
-404996,-637658,577861,-505373,-675174
-550354,1043010,322470,267869,-577398
608598,-161132,523429,585162,-679600
377668,885169,1042876,109809,-115967
-891605,-739922,-460252,619266,683231
-1031702,1024821,-407335,231841,-1712
254337,-916561,-960357,631974,-1026084
-848563,188166,-640118,-738498,855318
-851491,-932053,1033384,1019820,695477
-96473,105041,1010968,70530,-336988
319840,-1034001,845748,115205,1006248
949839,-171438,-204579,-666297,-203167
70291,410027,434018,-711475,-388967
-464670,-558227,676939,77613,-988306
-507092,500886,-584862,-293675,366777
-238113,515035,-686607,-16624,572440
-993486,-850593,364518,463497,273972
-811247,-680559,-950934,288235,794117
-308545,882675,-128469,872134,-865209
1003159,-923700,-92872,1046140,-401058
-40907,-292044,-229913,-314769,-890020
-419877,-832102,-486720,-349189,849155
-125224,-831613,-374753,-831390,547454
297009,-435027,780287,-63863,21046
-221987,184624,411892,823680,417269
-317755,-776046,-599867,-1027311,867053
-336538,778728,-689805,698444,-319518
972543,-568586,-974796,-757798,-1045620
-129664,-406254,458778,433605,312013
-540352,-29127,860320,-183,785750
-152171,712969,615615,809891,-266324
273934,-250134,-575802,215606,195925
-427386,-259542,497079,1019476,-982960
730780,-146602,479313,-485501,-83381
-94406,375211,-640146,477553,-1041080
637487,826107,-623512,-22834,1004351
615666,-51240,-986996,-524881,353288
-1007382,-735477,-40159,369086,992436
757827,9097,-901616,-344529,487466
-1010788,-479401,133499,221939,-116006
567306,-983661,-192734,710585,598287
512541,-159605,-144353,-724373,-957673
-777801,-56218,944000,29054,203421
-796274,269237,-176743,-559084,202968
497552,-289276,91060,-172733,968033
-581579,-37430,-392836,-904225,-44561
-67336,-167198,215003,4868,-898098
88209,328029,188543,-636001,-643992
1011136,-532947,154817,-344929,654628
803699,299834,219450,-406227,105614
-356464,-1015969,327640,274999,538043
478650,620637,-244232,-1016791,-965351
-414266,-764759,840173,-608112,-607566
468791,548865,605941,369651,-860882
605094,285086,875825,-661193,192581
486417,596396,123269,-648846,-93058
-912802,-971823,131448,1011174,299025
376636,785855,-57330,429394,-322636
-901896,-1045430,-234782,-348542,-1000426
753193,339184,-694221,-341735,-204309
836119,-965920,29134,508871,142026
502770,-442684,-407455,200163,-849026
968585,608123,765354,1006785,609630
-525710,-188660,-392013,828511,276379
278642,-174480,875071,-933069,311012
220046,-1045702,842882,-361580,-1040844
-493659,739819,-345201,-873305,-615712
-1032212,-616617,343759,-756345,-39959
-565311,561901,-23118,921502,392088
-605710,-270888,-895916,-31558,675151
169140,-905999,-431002,996089,-949598
-1035972,815368,821192,490374,-964477
468602,-349909,-48812,492955,-492807
-209681,-1001722,1022764,-754355,-1015598
924163,283335,-467957,353559,901552
652015,84146,339095,-474053,-278334
725680,742849,741556,380750,-111280
-726413,705733,-968008,225622,326757
426737,17877,-143639,-27627,55761
790074,1007971,-290909,-737324,763841
199386,168402,438066,-891391,-438166
-307671,-669319,-555772,903050,-753019
-830840,430552,-479689,861059,870291
-535518,-13694,-800917,-891976,-754755
470844,595138,886487,-986044,-213668
-706820,-805432,-38962,-547751,751750
1025676,-1010456,719398,-58574,-1015296
995032,-948602,813055,422995,-200134
901739,187368,-975603,879767,153653
163553,-816843,-354663,583110,-563883
322209,-752477,-562917,398418,-951174
-914628,192463,429468,-162598,9079
-92451,-566221,616429,-33709,850628
178298,-593531,-245074,706471,276579
-839542,-653421,-954403,82107,-54452
-702831,33847,-602958,-820066,762018
-952461,748069,17345,-688523,-290393
988654,-701735,796324,-544750,875922
-447464,-545534,-660457,-398693,934198
-446788,805705,-759089,-825401,-1032376
-1023303,279758,737460,273748,-811771
-456443,-302970,198789,984475,-454387
44382,-442477,-699010,-679758,-870501
774982,-127428,-945897,-592386,847195
-736026,-828541,911898,-1009208,-395095
-348957,-381472,-976167,-828403,828310
775166,-331580,44197,-898505,15008
23508,376963,551228,557657,692770
107786,-469845,-751532,927554,844364
262569,-229405,1040504,72105,-48309
812893,-321486,-503211,190268,976481
-445191,67085,-699575,1837,-113066
257992,990582,761080,107495,-258288
-26882,689726,-785283,-82067,467766
572632,494092,-684555,-415935,-1044415
547704,-1036942,-450123,-407612,529943
-297612,-400908,-597887,-989145,392178
903569,-749159,-900154,40710,954484
205890,518723,653779,-56105,574501
980264,174267,-917328,-960869,-836011
-630620,121982,-304275,-403622,-107899
694568,290288,27868,-621294,1009820
886962,-382943,458263,-570877,-164205
-803825,-704472,-47890,281734,-796035
737822,337418,4243,5733,-911699
727383,-168454,-792627,-727318,-693460
391882,125029,-947603,444847,291332
-865547,-557333,810106,-77666,-913503
606162,-731863,-815585,63753,691793
-157879,160301,-998515,768538,68954
310339,-827152,673769,-217855,705241
-236490,-1004814,-840016,-711838,502905
195773,183294,228020,-793277,861874
238640,817782,-922524,151525,393413
46192,-77715,-749405,689735,-203235
-532897,-831121,103318,-855361,-205605
199129,221251,57444,732771,792521
552263,384923,925381,-337535,-697752
711156,430572,-517426,838861,692780
126146,856649,526363,-872721,114675
-215404,-364384,706333,-946600,-54752
716962,588944,-7627,-345588,-129939
-550290,581551,428565,-978939,749224
-276216,680346,-1020147,380516,-143020
-137477,81988,781702,935758,-1020766
421796,-629112,-124585,318572,-444221
204572,-793905,739900,180079,-117512
637694,-215232,-534486,-91550,-234760
-595206,-661623,200546,-359552,-579641
-663625,85063,864460,-60509,-555951
879223,540523,-826910,66988,559813
-1031414,-951349,606012,653047,962456
557639,237502,101280,350978,-72760
603725,845808,-541764,342246,254208
-788189,-759785,746980,-121329,-289505
-796617,-858209,142399,967344,105460
-372234,991971,-865476,-178087,-17413
326732,-723983,793741,-324834,-65848
-422202,809478,888389,-422927,179876
232408,1031804,-685844,708716,-234512
-272120,707639,866098,-752811,850495
-782440,34065,-466262,88423,-864347
213237,107368,156735,996757,434378
-427329,1018457,-982013,-842225,-333981
20982,-773050,203993,33554,550347
-13719,-655340,425457,314109,-890431
176268,-78706,353931,-828014,-450830
905431,-985642,722952,854496,-143847
268161,68411,-492601,-147915,-365941
-271980,-11351,1015297,-1033819,166451
253524,-801560,285066,-1046354,867118
44462,165045,-1012862,936176,627057
423421,-469823,384558,-222049,-774085
685564,27120,-888341,-833071,-34136
-476864,-519859,681356,966821,-320653
-983200,-215928,-551381,-68922,117537
415251,619863,447661,434782,788902
857993,384641,-28431,-727072,475552
-85292,-467817,629177,475101,-768488
-614939,731673,-765019,730529,645340
-92593,-679168,-988843,-317510,479384
-240762,-808038,78875,-782891,520377
270401,-984216,637843,-885098,-90742
433154,263303,611802,-598332,-122921
-1040306,329592,591820,-926897,-170589
453704,-990052,-64693,637606,918833
-724509,647750,-325625,198647,-22400
915016,-785545,-680361,-70117,-575995
-747253,584389,409777,478151,-782532
-457174,-398800,280030,-1019572,194337
-23756,585303,237261,976817,373911
-1022690,359346,-86915,694840,1002497
872894,-238557,-685148,477948,203188
1021524,922960,112806,824813,-240739
-29258,-316952,953570,-168550,-390196
1000554,-913622,-179165,-48279,-927589
-702644,-492612,-526500,582432,-127930
1003088,-208697,426328,-581943,373326
409179,-779340,179143,-480320,162556
-41252,213939,454547,-608903,275825
896364,-674243,-702723,163967,-36238
-1046000,-104656,-966702,-242480,-825742
-377301,518860,506145,-215949,-168819
55020,-63995,-361905,815503,653950
676943,-238794,-42893,-183047,788182
-670310,360809,-17919,612300,983714
668544,-609197,-792940,800783,-850036
602105,54152,-95660,641845,516630
448238,375526,200664,-688215,-995306
121399,727113,-436342,439327,-785236
-26410,72421,-779563,-140501,-411268
766210,306606,-743780,622831,-238324
143583,-227432,68100,818837,190370
-322785,634728,-961151,714763,599657
329023,510768,992362,182925,-586011
523993,572344,-1037623,-387285,128238
664421,-1014605,-518602,-801492,552986
385245,710199,530493,-727836,-12774
-621960,-84042,-393903,367823,-1025302
707819,-139100,-945693,489323,-267221
-1021812,199731,-288643,-66603,210781
577106,-811814,-425557,136613,800394
-51876,-1005851,448286,1013767,-781376
-556702,446274,727017,334119,338215
-713037,-855744,-107143,-922480,-698881
741256,849417,-917484,264497,28367
-973494,-507495,-770476,-1006627,-397414
604731,-442315,-1047495,-694592,-977259
-738270,230513,1037948,948675,-1017207
190437,611015,835709,-404469,81116
-672403,-273134,-668470,-862730,611791
-528810,-662103,553219,-512069,930006
-886739,-799167,-1018215,1030369,-118816
-417562,-686541,538080,-672933,444177
391052,-576335,-430118,-451443,-415875
-22334,-898320,3440,-795246,-444017
711516,-778730,19505,282035,-385763
-818345,693421,660222,-1016330,713992
671233,842422,-267928,-740889,478014
-416046,-1020989,-1013275,-76149,712303
927778,163531,850521,498334,778998
-237918,411212,395556,-11578,-41244
-35407,870560,-930003,591611,-436319
837059,439395,-944146,208459,-989113
757729,-135201,439088,320348,-511163
-529581,-867794,63157,363304,-684987
967394,831717,681304,-344136,17392
-363890,833064,-453506,97977,1023933
